Address,BuildingType,City,ComplianceStatus,CouncilDistrictCode,DataYear,DefaultData,Electricity(kBtu),Electricity(kWh),ENERGYSTARScore,GHGEmissionsIntensity,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,ListOfAllPropertyUseTypes,Longitude,NaturalGas(kBtu),NaturalGas(therms),Neighborhood,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,PropertyName,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),State,SteamUse(kBtu),TaxParcelIdentificationNumber,TotalGHGEmissions,YearBuilt,ZipCode
101 S. Dakota,NonResidential,Seattle,Compliant,2,2016,false,193898,56828.30078,53,1,Non-Refrigerated Warehouse,21000,47.56683,Non-Refrigerated Warehouse,'-122.33358,394958,3949.580322,South,1,2,26235,Warehouse,22324,0,22324,101 S. Dakota,588856.125,723060.1875,28,34.40000153,48.70000076,56.5,WA,0,6172900280,22.33,1941,98134
101 Stewart Street,NonResidential,Seattle,Compliant,7,2016,false,4757299,1394284.625,89,0.29,Office,104788,47.61029,"Office, Parking, Restaurant",'-122.34089,0,0,Central,1,12,425,Large Office,100717,15140,115857,First and Stewart,4757299.5,4757299.5,45.20000076,45.20000076,141.8000031,141.8000031,WA,0,1977200020,33.17,1986,98101
101 Taylor Ave N,Multifamily HR (10+),Seattle,Compliant,7,2016,false,6013267,1762387.625,92,0.77,Multifamily Housing,339545,47.6189,Multifamily Housing,'-122.34671,4113330,41133.30078,Central,1,10,21714,High-Rise Multifamily,336003,0,336003,The Century,10126597,10382216,29.79999924,30.60000038,68.30000305,69.09999847,WA,0,1991200205,260.38,2014,98109
101 W. Lee St.,NonResidential,Seattle,Compliant,7,2016,false,472481,138476.2969,99,0.91,K-12 School,33550,47.63111,K-12 School,'-122.35814,499509,4995.090332,North,1,3,20735,K-12 School,32691,0,32691,St. Anne School,971990.3125,1095913.75,29,32.70000076,59.90000153,65.19999695,WA,0,1731800825,29.82,1922,98112
101 west olympic place,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1283482,376167.1875,96,1.93,Multifamily Housing,83306,47.62657,"Multifamily Housing, Parking",'-122.3584,4554646,45546.46094,North,1,8,23466,Mid-Rise Multifamily,129860,0,129860,The Queensborough Apartments,5838129,6474877.5,70.09999847,77.69999695,105.8000031,113.8000031,WA,0,3879900620,250.84,1950,98119
101 Yesler Way,NonResidential,Seattle,Compliant,7,2016,false,4307238,1262379.25,84,0.41,Office,92723,47.60148,"Office, Parking",'-122.33379,0,0,Central,1,6,40067,Small- and Mid-Sized Office,73102,0,73102,Olympic Block,4307238.5,4483478,46.5,48.40000153,145.8999939,151.8000031,WA,0,5247800440,30.03,1985,98104
1010 8th Ave S,Nonresidential COS,Seattle,Compliant,2,2016,false,847726,248454.4063,1,3.01,Non-Refrigerated Warehouse,12644,47.59393,"Non-Refrigerated Warehouse, Office",'-122.32211,1139608,11396.08008,South,1,2,28025,Warehouse,22058,0,22058,CSC Meter Shop (G),1987334.75,2235498,99.69999695,112.1999969,193.6000061,209.8999939,WA,0,6834700175,66.43,1967,98134
1010 Spring St,NonResidential,Seattle,Compliant,3,2016,false,23795911,6974182.5,0,5.97,Other,160482,47.60989,"Hospital (General Medical & Surgical), Other",'-122.32659,0,0,Central,1,7,49725,Other,267470,0,267470,VM Seattle Hospital & Medical Center - Jones Pavilion,42584028,42715544,159.1999969,159.6999969,363.7000122,361.3999939,WA,18547858,8590901075,1597.56,2012,98101
1011 5th Avenue N,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,566217,165948.5938,0,0.16,Multifamily Housing,24948,47.62848,"Multifamily Housing, Parking",'-122.34788,0,0,North,1,4,27387,Low-Rise Multifamily,24581,0,24581,The Renaissance Condominium Association of Queen Anne,566216.8125,615681.125,22.70000076,24.70000076,71.30000305,77.5,WA,0,7215700000,3.95,1985,98109
1011 East Terrace Street,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,1663016,487402.0938,98,0.68,Multifamily Housing,65948,47.60504,"Multifamily Housing, Parking",'-122.31848,1182930,11829.2998,Central,1,5,21670,Mid-Rise Multifamily,65948,43976,109924,Vantage Park Apartments,2845946,3059064,43.20000076,46.40000153,98,102.4000015,WA,0,2197600460,74.42,1999,98122
1011 Klickitat Way SW,Campus,Seattle,Compliant,1,2016,false,5130303,1503605.875,0,1.29,Other,139557,47.57049,Other,'-122.34857,2707389,27073.88867,South,5,2,23265,Other,138907,0,138907,T102 1011 B/C,7837692.5,8551562,56.20000076,61.29999924,135.8000031,142.6999969,WA,0,7666701220,179.55,1989,98134
1011 Pike ST,NonResidential,Seattle,Compliant,7,2016,false,572307,167733.5,0,1.62,Hotel,112676,47.61301,"Hotel, Parking, Retail Store, Swimming Pool",'-122.32929,4755745,47557.44922,Central,1,8,32,Hotel,128375,30301,158676,Homewood Suites,5328051.5,5424942,45.5,46.29999924,58,58.79999924,WA,0,660001832,256.57,1991,98101
1011 S Weller St,Multifamily MR (5-9),Seattle,Compliant,2,2016,false,1734822,508447.3125,81,0.18,Multifamily Housing,68669,47.59718,Multifamily Housing,'-122.31895,0,0,Central,1,6,23162,Mid-Rise Multifamily,68669,0,68669,Leschi House,1734822.375,1849454,25.29999924,26.89999962,79.30000305,84.59999847,WA,0,8170100420,12.09,1988,98104
1011 Western Ave,NonResidential,Seattle,Compliant,7,2016,false,9512827,2788050.25,0,0.22,Office,162422,47.60449,"Multifamily Housing, Office, Parking, Retail Store",'-122.33803,0,0,Central,1,13,25528,Large Office,224493,83064,307557,Waterfront Place,9512829,9691704,40.79999924,41.5,128,130.3999939,WA,0,9195900000,66.32,1983,98104
10115 Greenwood Ave N.,NonResidential,Seattle,Compliant,6,2016,false,455972,133637.7031,0,0.63,Self-Storage Facility,71874,47.70281,Self-Storage Facility,'-122.35623,786840,7868.400391,North,1,2,24876,Self-Storage Facility,40485,31389,71874,Greenwood Self Service Storage,1242811.75,1393424.5,17.29999924,19.39999962,31.39999962,33.59999847,WA,0,3626039349,44.97,1990,98133
1012 QUEEN ANNE AVE N,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,311775,91376.10156,91,1.17,Multifamily Housing,21234,47.62847,Multifamily Housing,'-122.35645,428455,4284.549805,North,1,3,23450,Low-Rise Multifamily,21234,0,21234,Montanita Apts,740230.375,783960.625,34.90000153,36.90000153,67.30000305,72.5,WA,0,3879900285,24.93,1913,98109
1012 S.W. Trenton St.,SPS-District K-12,Seattle,Error - Correct Default Data,1,2016,true,1944216,569817.125,87,0.51,K-12 School,71714,47.52518,K-12 School,'-122.34828,427142,4271.419434,South,1,1,273,K-12 School,71714,0,71714,Highland Park Elementary,2371358,2470597.75,33.09999847,34.5,91.40000153,93.90000153,WA,0,7972603210,36.24,1999,98106
1013 8th Ave,NonResidential,Seattle,Compliant,7,2016,false,883838,259038,55,3.27,Worship Facility,53000,47.60821,"Parking, Worship Facility",'-122.3296,202628,2026.280029,Central,1,3,21367,Worship Facility,37796,0,37796,First Presbyterian Church of Seattle,2465983.5,2769792,46.5,52.29999924,87.69999695,96,WA,1379517.75,1979200090,123.41,1962,98104
1014 1st Ave S,NonResidential,Seattle,Compliant,2,2016,false,1056782,309725.0938,0,0.13,Distribution Center,39884,47.59363,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",'-122.33371,0,0,South,1,4,629,Distribution Center,56270,0,56270,1016 1st Ave S LP,1056782.125,1056782.125,18.79999924,18.79999924,59,59,WA,0,7666206690,7.37,1907,98134
1014 First Avenue,NonResidential,Seattle,Compliant,7,2016,false,90559,26541.19922,0,0.02,Non-Refrigerated Warehouse,24000,47.60528,"Non-Refrigerated Warehouse, Retail Store",'-122.33627,0,0,Central,1,5,20396,Warehouse,33300,0,33300,Meaves Building,90558.70313,90558.70313,3,3,9.5,9.5,WA,0,939000530,0.63,1900,98101
1015 & 1017 Olive Way,NonResidential,Seattle,Compliant,7,2016,false,1310236,384008.3125,0,0.14,Automobile Dealership,67224,47.615,Automobile Dealership,'-122.33081,0,0,Central,1,2,31,Other,67224,0,67224,Seattle Honda,1310236.625,1310236.625,19.5,19.5,61.20000076,61.20000076,WA,0,660001725,9.13,1930,98101
1015 3rd Ave,NonResidential,Seattle,Compliant,7,2016,false,17074139,5004144,25,0.41,Office,145491,47.60582,"Office, Parking",'-122.33464,0,0,Central,1,13,767,Large Office,219322,74481,293803,1015 3rd Ave,17074142,17267470,117.4000015,118.6999969,368.5,372.7000122,WA,0,939000485,119.03,1998,98104
1015 Queen Anne Ave N.,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,602191,176492.0938,87,0.16,Multifamily Housing,25596,47.62855,Multifamily Housing,'-122.35713,0,0,North,1,4,23452,Low-Rise Multifamily,25596,0,25596,The Tiki,602191.1875,632190.5,23.5,24.70000076,73.90000153,77.59999847,WA,0,3879900305,4.2,1962,98198
1015 Second Avenue,NonResidential,Seattle,Compliant,7,2016,false,1355021,397133.9063,0,0.51,Office,89699,47.60542,"Office, Parking",'-122.33588,0,0,Central,1,6,347,Small- and Mid-Sized Office,89699,1392,91091,1015 Second Avenue,1835804.875,1916413.75,20.5,21.39999962,53.90000153,55,WA,480784,939000520,46.56,1950,98104
1016 East Pike,NonResidential,Seattle,Compliant,3,2016,false,877955,257313.9063,0,0.91,Office,22866,47.61435,Office,'-122.31859,275735,2757.350342,Central,1,3,25672,Small- and Mid-Sized Office,22866,0,22866,Ten Sixteen East Pike Inc,1153690.125,1213909.875,50.5,53.09999847,133.1999969,135.8000031,WA,0,6003500440,20.76,1913,98122
1017 Boren Avenue,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,442864,129796.1016,77,2.42,Multifamily Housing,51900,47.60973,Multifamily Housing,'-122.32594,2303288,23032.87891,Central,1,5,23409,Mid-Rise Multifamily,51900,0,51900,Chasselton Apartments,2746152,3130401.5,52.90000153,60.29999924,73.40000153,81.19999695,WA,0,8590901035,125.42,1925,98104
1017 E Harrison St,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,464079,136013.7969,74,0.87,Multifamily Housing,16379,47.62176,Multifamily Housing,'-122.31913,290162,2901.619873,Central,1,3,25323,Low-Rise Multifamily,21512,0,21512,Swansonia Apartments,754241.3125,806798.875,46,49.29999924,107.5999985,116.5,WA,0,6852700575,18.65,1925,98102
1017 minor Ave,Multifamily HR (10+),Seattle,Compliant,3,2016,false,984344,288494.5938,87,2.07,Multifamily Housing,90000,47.61023,"Multifamily Housing, Parking",'-122.32484,3385170,33851.69922,Central,1,14,22110,High-Rise Multifamily,90000,0,90000,Gainsborough Condominium,4369513.5,4837501.5,48.59999847,53.79999924,73.80000305,79.90000153,WA,0,2680670000,186.65,1930,98104
1017 W Nickerson St,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,1037555,304090,52,0.18,Multifamily Housing,37139,47.65383,"Multifamily Housing, Parking",'-122.3706,0,0,North,1,3,26232,Low-Rise Multifamily,39967,0,39967,Northern Lights Condominium,1037555.125,1110225.375,27.89999962,29.89999962,87.69999695,93.90000153,WA,0,6171400000,7.23,1965,98119
1018 1st Ave,NonResidential,Seattle,Compliant,7,2016,false,1424622,417532.9063,77,1.25,Office,37120,47.60542,"Office, Other",'-122.3364,754068,7540.679688,Central,1,5,20395,Small- and Mid-Sized Office,39960,0,39960,Holyoke,2178690.5,2388675.5,54.5,59.79999924,131.8000031,137.3000031,WA,0,939000515,49.98,1900,98104
1018 9TH AVE,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,1224045,358747.0938,73,0.2,Multifamily Housing,35632,47.60895,Multifamily Housing,'-122.32749,0,0,Central,1,4,21373,Low-Rise Multifamily,43606,0,43606,PAUL REVERE APARTMENTS,1224045.25,1309170.625,34.40000153,36.70000076,107.9000015,115.4000015,WA,0,1979200245,8.53,1923,98104
1019 East Pike Street,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,369549,108308.5,11,2.8,Multifamily Housing,23469,47.61391,Multifamily Housing,'-122.31852,1189904,11899.04004,Central,1,3,24441,Low-Rise Multifamily,23469,0,23469,Winston Apartment,1559452.75,1682208.375,66.40000153,71.69999695,102.6999969,108.1999969,WA,0,6003500115,65.77,1905,98122
1019 Harbor Avenue SW,Multifamily MR (5-9),Seattle,Compliant,1,2016,false,820599,240503.7969,0,0.48,Multifamily Housing,33500,47.59431,Multifamily Housing,'-122.38462,171160,1711.599976,South,1,6,23111,Mid-Rise Multifamily,31027,0,31027,Harbour Vista Condominium,991759.125,1052068.5,29.60000038,31.39999962,82.30000305,87.30000305,WA,0,3110810000,14.81,1994,98116
1019 Terry Ave,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,624128,182921.4063,67,2.92,Multifamily Housing,58503,47.60932,Multifamily Housing,'-122.32713,3134603,31346.03125,Central,1,4,21374,Low-Rise Multifamily,58503,0,58503,JOHN ALDEN,3758731,4220067,64.19999695,72.09999847,89.80000305,98,WA,0,1979200250,170.83,1924,98104
102 N 132nd St,NonResidential,Seattle,Compliant,5,2016,false,265775,77894.20313,100,0.08,Worship Facility,22898,47.72558,"Parking, Worship Facility",'-122.3578,0,0,North,1,1,21883,Worship Facility,22047,0,22047,Shoreline,265774.9063,272664.4063,11.60000038,11.89999962,36.40000153,37.40000153,WA,0,2426039065,1.85,1962,98133
1020 1st Ave S,NonResidential,Seattle,Compliant,2,2016,false,446650,130905.5,0,0.67,Other,44775,47.59347,Other,'-122.33369,504046,5040.459961,South,1,4,24710,Other,44775,0,44775,1020 building,950695.625,1095347.375,21.20000076,24.5,43.09999847,47.5,WA,0,7666206700,29.88,1909,98134
1020 5th Ave N,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,507976,148879.2031,89,0.15,Multifamily Housing,22937,47.62868,Multifamily Housing,'-122.34718,0,0,North,1,3,27573,Low-Rise Multifamily,22937,0,22937,Aqua Terrace Apartments,507976,533453.625,22.10000038,23.29999924,69.5,73,WA,0,5458300045,3.54,1959,98109
1020 E. Denny Way,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,242504,71073.89844,54,3.44,Multifamily Housing,21700,47.61895,"Multifamily Housing, Parking",'-122.31852,1291564,12915.63965,Central,1,3,25791,Low-Rise Multifamily,20457,0,20457,Lincoln Court,1534068.25,1679145.75,70.69999695,77.40000153,97.59999847,104.5999985,WA,0,6003501079,70.29,1907,98122
1020 John St.,NonResidential,Seattle,Compliant,7,2016,false,1566221,459033.0938,66,1.1,Non-Refrigerated Warehouse,29732,47.62002,"Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Parking",'-122.33687,1189608,11896.08008,Central,1,3,484,Mixed Use Property,67380,0,67380,Fred Rogers Building,2755829,3066491.25,42.09999847,46.79999924,94.19999695,99.19999695,WA,0,1986200380,74.1,1954,98109
1020 NE 50th Ave,Nonresidential COS,Seattle,Compliant,4,2016,false,964426,282657,0,2.27,Other,21886,47.66506,Other,'-122.31656,1063700,10637,North,1,3,27892,Other,27908,0,27908,Fire Station 17,2028125.625,2182493,92.69999695,99.69999695,189.3999939,198.3999939,WA,0,6746701655,63.22,1929,98105
1020 NE 63rd St.,Multifamily MR (5-9),Seattle,Compliant,4,2016,false,1327214,388984.0938,100,0.73,Multifamily Housing,94250,47.67435,"Multifamily Housing, Parking",'-122.31644,997550,9975.5,North,1,6,49895,Mid-Rise Multifamily,84891,0,84891,Square One,2324764,2420332,24.70000076,25.70000076,55.29999924,57.70000076,WA,0,1797500790,62.23,2014,98115
1020 Seneca St,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,1175317,344465.5938,28,3.58,Multifamily Housing,45975,47.61075,Multifamily Housing,'-122.32689,3396430,33964.29688,Central,1,5,21118,Mid-Rise Multifamily,52620,0,52620,John Winthrop Apartments,4571746.5,5137569,99.40000153,111.6999969,157.8000031,170.8000031,WA,0,1978200315,188.58,1925,98101
1020 University St,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,530250,155407.4063,26,4.01,Multifamily Housing,31979,47.6116,"Multifamily Housing, Parking",'-122.32774,2942584,29425.83789,Central,1,5,21330,Mid-Rise Multifamily,39895,0,39895,TEN TWENTY,3472834,3950569.5,108.5999985,123.5,148.6999969,164.3999939,WA,0,1978200360,159.98,1962,98101
10203 47th AVE SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,2501282,733083.8125,1,0.65,Multifamily Housing,51200,47.51169,Multifamily Housing,'-122.39435,1085197,10851.96973,South,1,3,25652,Low-Rise Multifamily,115819,0,115819,West Beach-425,3586479.25,3819444.75,70,74.59999847,175.6999969,189.8999939,WA,0,9263800000,75.07,1967,98146
1021 University St.,NonResidential,Seattle,Compliant,3,2016,false,1314572,385279.0938,0,3.06,Other,30971,47.61109,Other,'-122.32721,1277622,12776.21973,Central,1,3,21116,Other,30971,0,30971,Sunset Club,2823184,2974354.25,91.19999695,96,185.6000061,195.3999939,WA,230989.2969,1978200290,94.85,1920,98101
10215 Greenwood Ave. N,Multifamily MR (5-9),Seattle,Compliant,6,2016,false,3548501,1040006.188,100,0.89,Multifamily Housing,198202,47.70314,"Multifamily Housing, Parking, Swimming Pool",'-122.35604,2864680,28646.80078,North,3,5,49792,Mid-Rise Multifamily,198202,0,198202,LEILANI ON GREENWOOD,6413181.5,6631734.5,32.40000153,33.5,71.40000153,73.59999847,WA,0,3626039001,176.88,2013,98133
10215 Lake City Way NE,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,2100813,615713.1875,37,0.23,Multifamily Housing,63670,47.7026,Multifamily Housing,'-122.30211,0,0,North,1,4,24179,Low-Rise Multifamily,63670,0,63670,Northbrook Place,2100813.5,2183529,33,34.29999924,103.5999985,107.6999969,WA,0,5101405948,14.65,1991,98125
1024-1048 6th Ave S,NonResidential,Seattle,Compliant,2,2016,false,540429,158390.7031,67,0.34,Non-Refrigerated Warehouse,52325,47.59294,Non-Refrigerated Warehouse,'-122.32555,268539,2685.389893,South,1,1,24083,Warehouse,52325,0,52325,1024-1048 6th Ave S,808968.1875,919070.8125,15.5,17.60000038,37.79999924,41.09999847,WA,0,7666203360,18.03,1937,98134
1026 NE 65th St,Multifamily MR (5-9),Seattle,Compliant,4,2016,false,1757601,515123.4063,100,0.2,Multifamily Housing,61887,47.67602,"Multifamily Housing, Parking",'-122.31634,0,0,North,3,6,21627,Mid-Rise Multifamily,61887,0,61887,Dwell Roosevelt Condominium,1757601.25,1795091.625,28.39999962,29,89.19999695,91.09999847,WA,0,2137500000,12.25,2006,98115
1027 Bellevue Ct E,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,405131,118737,98,1.64,Multifamily Housing,40489,47.62768,Multifamily Housing,'-122.32733,1197887,11978.86914,Central,1,5,19669,Mid-Rise Multifamily,40489,0,40489,Ben Lomand Apartments,1603017.5,1720256.75,39.59999847,42.5,62.5,65.90000153,WA,0,676000010,66.44,1910,98012
1029 Summit Ave E,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,278493,81621.60156,27,3.11,Multifamily Housing,24325,47.62835,"Multifamily Housing, Parking",'-122.32653,1386456,13864.56055,Central,1,2,21652,Low-Rise Multifamily,24325,0,24325,Hacienda Apartments,1664948.75,1817966.25,68.40000153,74.69999695,95.80000305,102.4000015,WA,0,2163901480,75.58,1925,98102
103 13th Ave E,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,263098,77109.70313,58,3.22,Multifamily Housing,23490,47.61894,Multifamily Housing,'-122.3162,1389735,13897.34961,Central,1,3,24426,Low-Rise Multifamily,23490,0,23490,HALMAR,1652833.25,1818106.125,70.40000153,77.40000153,97.30000305,104.6999969,WA,0,6003002010,75.64,1908,98102
103 1st Ave,NonResidential,Seattle,Compliant,7,2016,false,769417,225503.0938,0,1.09,Office,24120,47.60149,"Office, Retail Store",'-122.33458,775085,7750.851074,Central,1,4,25543,Small- and Mid-Sized Office,42804,0,42804,Gatzert/Schwabacher,1544501.75,1598032,50.29999924,52,105.1999969,110.6999969,WA,0,5247800046,46.53,1900,98104
103 Bellevue Ave E,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,1423438,417185.9063,28,0.25,Multifamily Housing,34584,47.61875,"Multifamily Housing, Parking",'-122.32703,0,0,Central,1,6,25414,Mid-Rise Multifamily,38171,919,39090,Marq Condominium,1423438.5,1469397.75,41.20000076,42.5,129.1999969,133.3999939,WA,0,5165000000,9.92,2003,98102
103 Vine St,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,922153,270267.6875,90,0.18,Multifamily Housing,40987,47.61532,Multifamily Housing,'-122.3493,0,0,Central,1,4,19756,Low-Rise Multifamily,34880,0,34880,Vine Court Apartments,922153.6875,962912.3125,22.5,23.5,70.59999847,73.80000305,WA,0,654000145,6.43,1987,98121
10301 Greenwood Ave N,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,1400054,410332.3125,94,0.14,Multifamily Housing,45929,47.70384,"Multifamily Housing, Parking",'-122.35581,0,0,North,1,4,24391,Low-Rise Multifamily,70094,0,70094,Jefferson Court Apartments,1400053.875,1451149.5,30.5,31.60000038,95.69999695,99.19999695,WA,0,3442000069,9.76,1987,98133
10303 Meridian Ave N,NonResidential,Seattle,Compliant,5,2016,false,624125,182920.7031,87,0.18,Office,18396,47.70349,"Office, Parking",'-122.33424,0,0,North,1,3,27587,Small- and Mid-Sized Office,18396,6300,24696,Meridian Center Building,624125.625,624125.625,33.90000153,33.90000153,106.5,106.5,WA,0,5464300065,4.35,1983,98133
10306 Meridian Avenue North,Multifamily MR (5-9),Seattle,Compliant,5,2016,false,3545750,1039199.813,84,0.26,Multifamily Housing,115000,47.70349,Multifamily Housing,'-122.33279,153940,1539.400146,North,1,9,24764,Mid-Rise Multifamily,127230,0,127230,Luxe at Meridian Apartments,3699690,3862066.75,32.20000076,33.59999847,98.19999695,103.0999985,WA,0,3226049228,32.89,1970,98133
